name,address,Hex,access,signed,bits,desc,ASLO
R1CPLFEP2ILH,88,58,rw,signed,,coupler 1 electron probe 2 current limit high,0.6103515625
R1CPLFEP3ILH,89,59,rw,signed,,coupler 1 electron probe 3 current limit high,0.6103515625
R2CPLFEP1ILH,90,5A,rw,signed,,coupler 2 electron probe 1 current limit high,0.6103515625
R2CPLFEP2ILH,91,5B,rw,signed,,coupler 2 electron probe 2 current limit high,0.6103515625
R2CPLFEP3ILH,92,5C,rw,signed,,coupler 2 electron probe 3 current limit high,0.6103515625
R3CPLFEP1ILH,93,5D,rw,signed,,coupler 3 electron probe 1 current limit high,0.6103515625
R3CPLFEP2ILH,94,5E,rw,signed,,coupler 3 electron probe 2 current limit high,0.6103515625
R3CPLFEP3ILH,95,5F,rw,signed,,coupler 3 electron probe 3 current limit high,0.6103515625
R4CPLFEP1ILH,96,60,rw,signed,,coupler 4 electron probe 1 current limit high,0.6103515625
R4CPLFEP2ILH,97,61,rw,signed,,coupler 4 electron probe 2 current limit high,0.6103515625
R4CPLFEP3ILH,98,62,rw,signed,,coupler 4 electron probe 3 current limit high,0.6103515625
R1CPLFEP1ILL,99,63,rw,signed,,coupler 1 electron probe 1 current limit low,0.6103515625
R1CPLFEP2ILL,100,64,rw,signed,,coupler 1 electron probe 2 current limit low,0.6103515625
R1CPLFEP3ILL,101,65,rw,signed,,coupler 1 electron probe 3 current limit low,0.6103515625
R2CPLFEP1ILL,102,66,rw,signed,,coupler 2 electron probe 1 current limit low,0.6103515625
R2CPLFEP2ILL,103,67,rw,signed,,coupler 2 electron probe 2 current limit low,0.6103515625
R2CPLFEP3ILL,104,68,rw,signed,,coupler 2 electron probe 3 current limit low,0.6103515625
R3CPLFEP1ILL,105,69,rw,signed,,coupler 3 electron probe 1 current limit low,0.6103515625
R3CPLFEP2ILL,106,6A,rw,signed,,coupler 3 electron probe 2 current limit low,0.6103515625
R3CPLFEP3ILL,107,6B,rw,signed,,coupler 3 electron probe 3 current limit low,0.6103515625
R4CPLFEP1ILL,108,6C,rw,signed,,coupler 4 electron probe 1 current limit low,0.6103515625
R4CPLFEP2ILL,109,6D,rw,signed,,coupler 4 electron probe 2 current limit low,0.6103515625
R4CPLFEP3ILL,110,6E,rw,signed,,coupler 4 electron probe 3 current limit low,0.6103515625
RXCPLFEPM,111,6F,rw,unsigned,{},coupler electron probe limit mask,
RXCPLFEPLS,112,70,r,unsigned,{},coupler electron probe limit status,
RXCPLFEPFS,113,71,r,unsigned,{},coupler electron probe limit latched status,
RXCPLFEPFC,114,72,rw,unsigned,{},coupler electro probe fault clear,
RXCVF,115,73,r,unsigned,{},vacuum fault status,
RXCVFM,116,74,rw,unsigned,{},vacuum fault mask,
RXCVFC,117,75,rw,unsigned,{},vacuum fault clear,
RXCIEN,118,76,r,unsigned,{},interlock enable latch and present from FCC,
RXCIENM,119,77,rw,unsigned,{},interlock enable latch and present from FCC mask,
RXCIENC,120,78,rw,unsigned,{},interlock enable clear,
RXFFSD,121,79,r,unsigned,{},FSD to field control latch and present,
RXFFSDM,122,7A,rw,unsigned,{},FSD to field control latch and present mask,
RXFFSDC,123,7B,rw,unsigned,{},FSD to field control clear,
RXISTAT,124,7C,r,unsigned,{},miscellaneous status bits,
RXICTL,125,7D,rw,unsigned,{},miscellaneous control bits,
RXIVER,126,7E,r,unsigned,,firmware version,
R1CPLFEP1PERD,127,7F,rw,unsigned,,Coupler 1 field emission detection window period in us,0.02
R1CPLFEP2PERD,128,80,rw,unsigned,,Coupler 2 field emission detection window period in us,0.02
R1CPLFEP3PERD,129,81,rw,unsigned,,Coupler 3 field emission detection window period in us,0.02
R2CPLFEP1PERD,130,82,rw,unsigned,,Coupler 4 field emission detection window period in us,0.02
R2CPLFEP2PERD,131,83,rw,unsigned,,Coupler 5 field emission detection window period in us,0.02
R2CPLFEP3PERD,132,84,rw,unsigned,,Coupler 6 field emission detection window period in us,0.02
R3CPLFEP1PERD,133,85,rw,unsigned,,Coupler 7 field emission detection window period in us,0.02
R3CPLFEP2PERD,134,86,rw,unsigned,,Coupler 8 field emission detection window period in us,0.02
R3CPLFEP3PERD,135,87,rw,unsigned,,Coupler 9 field emission detection window period in us,0.02
R4CPLFEP1PERD,136,88,rw,unsigned,,Coupler 10 field emission detection window period in us,0.02
R4CPLFEP2PERD,137,89,rw,unsigned,,Coupler 11 field emission detection window period in us,0.02
R4CPLFEP3PERD,138,8A,rw,unsigned,,Coupler 12 field emission detection window period in us,0.02
R5STMPI,139,8B,rw,unsigned,,Spare 1 PT100 excitaion current mA,7.62939453125E-005
R6STMPI,140,8C,rw,unsigned,,Spare 2 PT100 excitaion current mA,7.62939453125E-005
R7STMPI,141,8D,rw,unsigned,,Spare 3 PT100 excitaion current mA,7.62939453125E-005
R8STMPI,142,8E,rw,unsigned,,Spare 4 PT100 excitaion current mA,7.62939453125E-005
R5STMPV,143,8F,r,unsigned,,spare 1 PT100 voltage readback,0.000000053
R6STMPV,144,90,r,unsigned,,Spare 2 PT100 voltage readback,0.000000053
R7STMPV,145,91,r,unsigned,,Spare 3 PT100 voltage readback,0.000000053
R8STMPV,146,92,r,unsigned,,Spare 4 PT100 voltage readback,0.000000053
